Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A058Z3W6,113,20529098,Uncharacterized protein,Fonticula alba (Slime mold),691883,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A075B267,113,,P-loop containing nucleoside triphosphate hydrolase protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A078ARC5,113,,Cg5915-pa,Stylonychia lemnae (Ciliate),5949,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0L0SWH3,113,,Mitochondrial Rho GTPase,Allomyces macrogynus (strain ATCC 38327) (Allomyces javanicus var. macrogynus),578462,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0V0QNZ5,113,,p-loop containing nucleoside triphosphate hydrolase,Pseudocohnilembus persalinus (Ciliate),266149,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A183CZ00,113,,Uncharacterized protein,Gongylonema pulchrum,637853,"GTPase activity, GTP binding",nan,I-kappaB kinase/NF-kappaB signaling,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D1V5V7,113,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J1HYC5,113,,"CLUMA_CG006494, isoform A",Clunio marinus,568069,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1X7U0F0,113,,Uncharacterized protein,Amphimedon queenslandica (Sponge),400682,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1Y2GLD4,113,,Mitochondrial Rho GTPase,Lobosporangium transversale,64571,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A2C6KEP8,113,,Ras family protein,Cystoisospora suis,483139,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2K3K371,113,,Mitochondrial rho GTPase 1-like protein,Trifolium pratense (Red clover),57577,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PXF9,113,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2T7PYM9,113,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2Z6QE04,113,,Mitochondrial Rho GTPase,Rhizophagus clarus,94130,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A3P7CM58,113,,Uncharacterized protein,Schistocephalus solidus (Tapeworm),70667,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,nan,nan,"Mitochondrion, Other locations",nan,nan,nan,Reference proteome,nan
A0A433PES1,113,,Mitochondrial Rho GTPase,Endogone sp. FLAS-F59071,2340872,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A4Z2HR02,113,,E3 ubiquitin-protein ligase CBL,Liparis tanakae (Tanaka's snailfish),230148,"aspartyltransferase activity, calcium ion binding, GTPase activity, GTP binding, phosphotyrosine residue binding, ubiquitin-protein transferase activity",Transferase,"cell surface receptor signaling pathway, regulation of signaling, small GTPase mediated signal transduction",Ubl conjugation pathway,nan,nan,nan,nan,Reference proteome,nan
A0A5K4F9Z6,113,,Uncharacterized protein,Schistosoma mansoni (Blood fluke),6183,"GTPase activity, GTP binding",nan,nan,nan,Other locations,nan,nan,nan,Reference proteome,nan
F0YHH9,113,20220949,Uncharacterized protein,Aureococcus anophagefferens (Harmful bloom alga),44056,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
F5HE08,113,3877845,Uncharacterized protein,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,"GDP binding, GTPase activity, GTP binding",nan,Ras protein signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
G4TR86,113,,Related to KREV-1 novel protein of ras superfamily KREV-1,Serendipita indica (strain DSM 11827) (Root endophyte fungus) (Piriformospora indica),1109443,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
I7M329,113,7825629,Ras family protein,Tetrahymena thermophila (strain SB210),312017,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
X6NKB8,113,,Uncharacterized protein,Reticulomyxa filosa,46433,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A058Z2V3,114,20529465,Uncharacterized protein,Fonticula alba (Slime mold),691883,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A0C2TL26,114,,Mitochondrial Rho GTPase,Amanita muscaria Koide BX008,946122,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0C3M7T8,114,,Mitochondrial Rho GTPase,Tulasnella calospora MUT 4182,1051891,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0D7A4C0,114,,Mitochondrial Rho GTPase,Fistulina hepatica ATCC 64428,1128425,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A0D8XYY9,114,,Uncharacterized protein,Dictyocaulus viviparus (Bovine lungworm),29172,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A163KF88,114,,Mitochondrial Rho GTPase,Absidia glauca (Pin mould),4829,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A164WEA8,114,,Uncharacterized protein,Sistotremastrum niveocremeum HHB9708,1314777,"GTPase activity, GTP binding",nan,signal transduction,nan,Plasma Membrane,nan,nan,nan,Reference proteome,nan
A0A183AQF5,114,,Uncharacterized protein,Echinostoma caproni,27848,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D2VGV5,114,30963264,p-loop containing nucleoside triphosphate hydrolase protein,Ascoidea rubescens DSM 1968,1344418,"GTPase activity, GTP binding",Hydrolase,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1D3CTI1,114,,Ras family domain-containing protein,Cyclospora cayetanensis,88456,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A1J4JKY2,114,,Uncharacterized protein,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A226E339,114,,Ras-like GTP-binding protein RhoL,Folsomia candida (Springtail),158441,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2K1J2S6,114,,Uncharacterized protein,Physcomitrium patens (Spreading-leaved earth moss) (Physcomitrella patens),3218,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A2P4SRF1,114,,BTB domain-containing protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
A0A397IUX6,114,,Mitochondrial Rho GTPase,Diversispora epigaea,1348612,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A3P7N4T2,114,,Uncharacterized protein,Cylicostephanus goldi (Nematode worm),71465,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A444UFD3,114,,Small monomeric GTPase,Acipenser ruthenus (Sterlet sturgeon),7906,"G protein activity, GTP binding",Hydrolase,signal transduction,nan,Other locations,nan,nan,nan,Reference proteome,nan
A0A451CL20,114,,Ras family protein,Candidatus Kentron sp. G,2126341,"GTPase activity, GTP binding",nan,nan,nan,nan,nan,nan,nan,Reference proteome,nan
A0A4P9XMD4,114,,Mitochondrial Rho GTPase,Thamnocephalis sphaerospora,78915,"calcium ion binding, GTPase activity, GTP binding",Hydrolase,mitochondrion organization,nan,Mitochondrion,nan,nan,nan,Reference proteome,nan
A0A5B7DX19,114,,Rho-related GTP-binding protein RhoU,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"GTPase activity, GTP binding",nan,small GTPase mediated signal transduction,nan,nan,nan,nan,nan,Reference proteome,nan
