Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A0D2VSA1,57,14898015,Homeobox domain-containing protein,Capsaspora owczarzaki (strain ATCC 30864),595528,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1S3K519,56,106178915,hematopoietically-expressed homeobox protein hhex-like,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3Q0KGM2,49,,Putative homeobox protein,Schistosoma mansoni (Blood fluke),6183,DNA binding,nan,Nucleus
A0A2B4RM58,58,,Transcription factor LBX1,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4SA69,58,,Nuclear pore complex protein Nup133,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, structural constituent of nuclear pore",nan,"Nucleus, Other locations"
A0A2B4RXT8,58,,Homeobox protein SMOX-5,Stylophora pistillata (Smooth cauliflower coral),50429,DNA binding,nan,"Nucleus, Other locations"
A0A4C1XFW6,58,,Homeobox protein Nkx-6.3,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
V3ZZ31,57,20231217,Homeobox domain-containing protein,Lottia gigantea (Giant owl limpet),225164,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1EKA6,56,20197006,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,nan,Nucleus
T1EHI0,56,20196030,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A2P4SQE7,58,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
F1Q7K3,58,563768,Si:ch73-386h18.1,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, zinc ion binding","brain development, regulation of neuron differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A2G8LQU1,58,,Putative zinc finger homeobox protein 4 isoform X2,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A5B7EE69,58,,Zinc finger homeobox protein 2,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
W4YNH1,58,,Uncharacterized protein,,,nan,nan,nan
K1Q9D5,58,,Zinc finger homeobox protein 3,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A1S3I0Z9,58,106159310,zinc finger homeobox protein 4 isoform X2,Lingula unguis,7574,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A077Z2H2,58,,Zinc finger homeobox protein 3,Trichuris trichiura (Whipworm) (Trichocephalus trichiurus),36087,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A183ILY5,49,,Uncharacterized protein,Soboliphyme baturini,241478,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0R3PWK5,58,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4V0D2,58,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2A2KYD2,58,,Uncharacterized protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A6A4WFC1,58,,Zinc finger homeobox protein 3,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q1RLB9,58,751576,Transcription factor protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A1D1V9N5,58,,Uncharacterized protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
T1EH58,58,20195908,Uncharacterized protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A0G2KAT7,56,,Zinc finger homeobox 2,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","adult behavior, brain development, regulation of neuron differentiation, regulation of sensory perception of pain, regulation of transcription by RNA polymerase II",Nucleus
M7BEM1,56,,Zinc finger homeobox protein 2,Chelonia mydas (Green sea-turtle) (Chelonia agassizi),8469,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G9S8S5,56,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177B7R3,58,,Uncharacterized protein,Intoshia linei,1819745,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
A0A4Z2FFP3,58,,Zinc finger homeobox protein 3,Liparis tanakae (Tanaka's snailfish),230148,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",multicellular organism development,Nucleus
R7TPR7,53,,Homeobox domain-containing protein,Capitella teleta (Polychaete worm),283909,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0M0LR39,57,,Homeodomain transcription factor tx1,Chrysochromulina tobinii,1460289,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2P4SQE7,58,,Uncharacterized protein,Bambusicola thoracicus (Chinese bamboo-partridge) (Perdix thoracica),9083,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2G8LQU1,58,,Putative zinc finger homeobox protein 4 isoform X2,Stichopus japonicus (Sea cucumber),307972,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, zinc ion binding",nan,Nucleus
W4YNH1,58,,Uncharacterized protein,,,nan,nan,nan
A0A0G2KAT7,58,,Zinc finger homeobox 2,Rattus norvegicus (Rat),10116,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","adult behavior, brain development, regulation of neuron differentiation, regulation of sensory perception of pain, regulation of transcription by RNA polymerase II",Nucleus
A0A2G9S8S5,58,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A5B7EE69,58,,Zinc finger homeobox protein 2,Portunus trituberculatus (Swimming crab) (Neptunus trituberculatus),210409,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9FTE1,58,,Putative zinc finger homeobox protein 3,Daphnia pulex (Water flea),6669,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding, zinc ion binding",regulation of transcription by RNA polymerase II,Nucleus
