Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A0B1SUP6,58,,Homeobox domain protein,Oesophagostomum dentatum (Nodular worm),61180,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A0R3PDL0,58,,Uncharacterized protein,Angiostrongylus costaricensis (Nematode worm),334426,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A2G9V420,45,,Paired box' domain protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,DNA binding,"regulation of transcription, DNA-templated",Nucleus
G5ED66,58,185022,PAX (Paired box) transcription factor,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, hemidesmosome assembly, regulation of transcription by RNA polymerase II",Nucleus
A0A158PN68,58,,Uncharacterized protein,Anisakis simplex (Herring worm),6269,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A0K0JB91,58,,BMA-PAX-3,Brugia malayi (Filarial nematode worm),6279,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A4U8UPA0,58,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A0B2VSG4,58,,Paired box protein Pax-7,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0I9N5S7,58,6103583,Bm10054,Brugia malayi (Filarial nematode worm),6279,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A183DFG3,58,,Homeobox domain-containing protein,Gongylonema pulchrum,637853,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4UAY4,58,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4U8UQQ1,58,,Uncharacterized protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158PN68,47,,Uncharacterized protein,Anisakis simplex (Herring worm),6269,DNA binding,"regulation of transcription, DNA-templated",Nucleus
A0A090LP61,58,,Homeobox domain and Paired domain and Homeodomain-like and Winged helix-turn-helix DNA-binding domain-containing protein,Strongyloides ratti (Parasitic roundworm),34506,DNA binding,"hemidesmosome assembly, regulation of transcription, DNA-templated",Nucleus
H3F8H7,58,,Pax-3,Pristionchus pacificus (Parasitic nematode),54126,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","anatomical structure development, regulation of transcription by RNA polymerase II",Nucleus
A0A3S0ZJC1,58,,Homeobox domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E9HGJ8,56,,Homeobox domain-containing protein,Daphnia pulex (Water flea),6669,DNA binding,nan,Nucleus
A0A6A4X449,47,,Retinal homeobox protein Rx,Amphibalanus amphitrite (Striped barnacle) (Balanus amphitrite),1232801,DNA binding,nan,Nucleus
T1KR70,47,,Homeobox domain-containing protein,Tetranychus urticae (Two-spotted spider mite),32264,"DNA binding, DNA-binding transcription factor activity",transcription by RNA polymerase II,Nucleus
A0A183J9R1,47,,Homeobox domain-containing protein,Soboliphyme baturini,241478,DNA binding,nan,Nucleus
A0A3S3P7A6,47,,Homeobox domain-containing protein,Dinothrombium tinctorium,1965070,DNA binding,nan,Nucleus
E0VG23,47,8236722,"Homeobox protein arx, putative",Pediculus humanus subsp. corporis (Body louse),121224,DNA binding,nan,Nucleus
A0A2A2LHX6,46,,Homeobox domain-containing protein,Diploscapter pachys,2018661,DNA binding,nan,Nucleus
K1PQ27,46,,Dorsal root ganglia homeobox protein,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),29159,DNA binding,nan,Nucleus
A0A2B4RY87,58,,Diencephalon/mesencephalon homeobox protein 1-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4RY87,58,,Diencephalon/mesencephalon homeobox protein 1-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SCD4,58,5510254,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SCD0,58,5510233,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4RSV5,58,,Diencephalon/mesencephalon homeobox protein 1-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1EKA1,58,20197001,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
C3Z619,58,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
B0S606,58,,Zgc:101100,Danio rerio (Zebrafish) (Brachydanio rerio),7955,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A444UXC6,58,,Diencephalon/mesencephalon homeobox protein 1,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
E4XS06,58,,Homeobox domain-containing protein,Oikopleura dioica (Tunicate),34765,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1IUM6,58,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A3M7SVN1,58,,Diencephalon mesencephalon homeobox 1-A-like,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1D1VFI2,58,,Homeobox domain-containing protein,Ramazzottius varieornatus (Water bear) (Tardigrade),947166,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A7SCC9,58,5510252,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
F6SAH1,58,,Homeobox domain-containing protein,Ciona intestinalis (Transparent sea squirt) (Ascidia intestinalis),7719,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A7RFR5,58,5522065,Predicted protein,Nematostella vectensis (Starlet sea anemone),45351,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4RXK9,58,,Diencephalon/mesencephalon homeobox protein 1-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2B4RZ44,57,,Diencephalon/mesencephalon homeobox protein 1-B,Stylophora pistillata (Smooth cauliflower coral),50429,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0B2VZ42,58,,Diencephalon/mesencephalon homeobox protein 1-B,Toxocara canis (Canine roundworm),6265,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4UZB7,46,,Homeobox domain-containing protein,Enterobius vermicularis (Human pinworm),51028,DNA binding,nan,Nucleus
A0A4X3PA21,58,,Homeobox domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A016UY99,58,,Homeobox domain-containing protein,Ancylostoma ceylanicum,53326,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4WXM6,58,,Homeobox domain-containing protein,Haemonchus placei (Barber's pole worm),6290,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D8XYN1,58,,Homeobox domain protein,Dictyocaulus viviparus (Bovine lungworm),29172,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A158PHF1,58,,Homeobox domain-containing protein,Angiostrongylus costaricensis (Nematode worm),334426,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0N4Y6Y5,46,,Retinal homeobox protein Rx (inferred by orthology to a D. melanogaster protein),Nippostrongylus brasiliensis (Rat hookworm),27835,DNA binding,nan,Nucleus
A0A2A2M177,58,,Homeobox domain-containing protein,Diploscapter pachys,2018661,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
O44462,58,182467,Homeobox domain-containing protein,Caenorhabditis elegans,6239,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A4U8V1H4,58,,Homeobox domain-containing protein,Steinernema carpocapsae (Entomopathogenic nematode),34508,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q9WUI0,58,27217,Homeobox protein MIXL1,Mus musculus (Mouse),10090,"cis-regulatory region sequence-specific DNA binding, DNA-binding transcription activator activity, RNA polymerase II-specific, DNA-binding transcription factor activity, RNA polymerase II-specific, identical protein binding, protein homodimerization activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, RNA polymerase II repressing transcription factor binding, RNA polymerase II transcription factor binding, sequence-specific double-stranded DNA binding","cell migration involved in gastrulation, digestive tract development, endodermal cell differentiation, endoderm development, endoderm formation, gastrulation, heart development, hematopoietic progenitor cell differentiation, hemopoiesis, negative regulation of hematopoietic progenitor cell differentiation, positive regulation of mesoderm development, positive regulation of transcription by RNA polymerase II, regulation of transcription by RNA polymerase II","Nucleus, Other locations"
A0A4Z2HUK1,58,,Homeobox protein MIXL1,Liparis tanakae (Tanaka's snailfish),230148,DNA binding,multicellular organism development,Nucleus
A0A662YT21,58,,Homeobox protein MIXL1,Acipenser ruthenus (Sterlet sturgeon),7906,DNA binding,nan,Nucleus
A0A3Q0IR89,58,,retinal homeobox protein Rx-A-like,Diaphorina citri (Asian citrus psyllid),121845,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
