Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A2F0B7I8,113,,Leucine-rich repeat-containing protein 45,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4C1UXP9,113,,Ras-like GTP-binding protein RhoL,Eumeta variegata (Bagworm moth) (Eumeta japonica),151549,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A401QIE6,114,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A4Z2GMU2,114,,Rho-related GTP-binding protein RhoU,Liparis tanakae (Tanaka's snailfish),230148,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A6J8BH25,114,,RHOU,Mytilus coruscus (Sea mussel),42192,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A098VVB9,116,25258311,Cdc42,Mitosporidium daphniae,1485682,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A2T7NXJ5,116,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",nan,nan
L8GLV9,116,14913755,"Cell division control protein 42, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding","cell division, small GTPase mediated signal transduction",nan
A0A075AUA9,117,,Small GTPase superfamily domain-containing protein,Rozella allomycis (strain CSF55),988480,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0R3VZ29,117,,Uncharacterized protein,Taenia asiatica (Asian tapeworm),60517,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1E4TAE4,117,,Uncharacterized protein,Tortispora caseinolytica NRRL Y-17796,767744,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A210PC59,117,,Ras-related C3 botulinum toxin substrate 1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0M3JA26,118,,Rho-related GTP-binding protein RhoG (inferred by orthology to a human protein),Anisakis simplex (Herring worm),6269,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A163JUI4,118,,Uncharacterized protein,Absidia glauca (Pin mould),4829,"GTPase activity, GTP binding","peroxisome organization, small GTPase mediated signal transduction",Peroxisome
A0A2T7NST5,118,,Uncharacterized protein,Pomacea canaliculata (Golden apple snail),400727,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8GWK6,118,14917964,Ras subfamily protein,Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding","endocytosis, small GTPase mediated signal transduction",Other locations
W7THX0,118,,Rho gtpase,Nannochloropsis gaditana,72520,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
E4XU46,119,,Uncharacterized protein,Oikopleura dioica (Tunicate),34765,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A5J4NDG5,120,,Ras-related C3 botulinum toxin substrate 1,Paragonimus westermani,34504,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A0C3KMW9,121,,Uncharacterized protein,Tulasnella calospora MUT 4182,1051891,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A1J4KCP3,121,,Ras-related protein ced-10,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A137NV23,122,,Small GTPase RhoA,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638) (Delacroixia coronata),796925,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3M0JH72,122,,Uncharacterized protein,Hirundo rustica rustica,333673,"dioxygenase activity, DNA binding, GTPase activity, GTP binding, zinc ion binding","chromatin organization, small GTPase mediated signal transduction",Nucleus
A0A3P7N3C4,122,,Uncharacterized protein,Cylicostephanus goldi (Nematode worm),71465,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A3S1ACT0,122,,Uncharacterized protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
G0R100,122,14904951,"Ras-related C3 botulinum toxin substrate 1, rac1, putative",Ichthyophthirius multifiliis (strain G5) (White spot disease agent) (Ich),857967,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
V8P5E7,122,,Rho-related GTP-binding protein RhoF,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A397V9N4,123,,P-loop containing nucleoside triphosphate hydrolase protein,Gigaspora rosea,44941,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
L8GZ54,123,14919005,"Small GTPase RAC, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
M7PB99,123,19894458,GTP-binding protein rho4,Pneumocystis murina (strain B123) (Mouse pneumocystis pneumonia agent) (Pneumocystis carinii f. sp. muris),1069680,"GTPase activity, GTP binding","cellular protein localization, division septum assembly, regulation of actin cytoskeleton organization, regulation of cell shape, regulation of division septum assembly, small GTPase mediated signal transduction",Other locations
A0A1C7MEF2,124,,GTP-binding protein RHO1,Grifola frondosa (Maitake) (Polyporus frondosus),5627,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
A0A423TYY8,124,,Ras-related C3 botulinum toxin substrate 1,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",small GTPase mediated signal transduction,nan
