Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A1J4JHK3,113,,Ras-related protein RABD1,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan
A0A1J4KFL1,113,,Ras-related protein RIC1,Tritrichomonas foetus,1144522,"GTPase activity, GTP binding",nan,nan
A0A1Q9F6I4,113,,Ras-related protein Rab-5A,Symbiodinium microadriaticum (Dinoflagellate) (Zooxanthella microadriatica),2951,"ATP binding, GTPase activity, GTP binding, protein kinase activity",nan,nan
A0A401Q5L4,113,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,Other locations
A0A2G9RQ57,114,,Uncharacterized protein,Lithobates catesbeianus (American bullfrog) (Rana catesbeiana),8400,"GTPase activity, GTP binding",nan,nan
A0A699ZSA8,114,,Uncharacterized protein,Haematococcus lacustris (Green alga) (Haematococcus pluvialis),44745,"GTPase activity, GTP binding",nan,nan
V8NU50,114,,Ras-related protein Rab-39B,Ophiophagus hannah (King cobra) (Naja hannah),8665,"GTPase activity, GTP binding",nan,nan
A0A0N4VK73,115,,Uncharacterized protein,Enterobius vermicularis (Human pinworm),51028,"GTPase activity, GTP binding",nan,nan
A0A2G9TR70,115,,Ras family protein,Teladorsagia circumcincta (Brown stomach worm) (Ostertagia circumcincta),45464,"GTPase activity, GTP binding",nan,nan
A0A3M7T5S6,115,,Ras-related Rab-37,Brachionus plicatilis (Marine rotifer) (Brachionus muelleri),10195,"GTPase activity, GTP binding",nan,nan
A0A3Q0J940,115,,ras-related protein Rab-1A,Diaphorina citri (Asian citrus psyllid),121845,"GTPase activity, GTP binding",nan,nan
A0A401PVD1,115,,Uncharacterized protein,Scyliorhinus torazame (Cloudy catshark),75743,"GTPase activity, GTP binding",nan,Other locations
A0A167BZI3,116,30035879,Rab family GTPase YPT1,Sugiyamaella lignohabitans,796027,"GTPase activity, GTP binding",nan,nan
A0A444UVD6,116,,Ras-related protein Rab-1A,Acipenser ruthenus (Sterlet sturgeon),7906,"GTPase activity, GTP binding",nan,nan
A0A158QP47,117,,Uncharacterized protein,Haemonchus placei (Barber's pole worm),6290,"GTPase activity, GTP binding",nan,nan
K7L170,117,,Uncharacterized protein,Glycine max (Soybean) (Glycine hispida),3847,"GTPase activity, GTP binding",nan,nan
