Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A444UHF4,48,,Homeobox protein Hox-C11a,Acipenser ruthenus (Sterlet sturgeon),7906,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A4X3PT32,42,,Homeobox domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A423SP45,46,,Homeobox domain-containing protein,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,DNA binding,nan,Nucleus
A0A183WWF0,44,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,DNA binding,nan,Nucleus
A0A177B0K5,58,,Homeobox domain-containing protein,Intoshia linei,1819745,DNA binding,nan,Nucleus
A0A0C2N8V5,58,,Homeobox protein Hox-D12,Thelohanellus kitauei (Myxosporean),669202,DNA binding,nan,Nucleus
A0A183WUC4,43,,Homeobox domain-containing protein,Trichobilharzia regenti (Nasal bird schistosome),157069,DNA binding,nan,Nucleus
A0A3P7ZMH4,44,,Homeobox domain-containing protein,Soboliphyme baturini,241478,DNA binding,nan,Nucleus
A0A183SLJ0,45,,Homeobox domain-containing protein,Schistocephalus solidus (Tapeworm),70667,DNA binding,nan,Nucleus
T1JIU8,54,,Homeobox domain-containing protein,Strigamia maritima (European centipede) (Geophilus maritimus),126957,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1V9X0N7,42,,Lipoyltransferase 1: mitochondrial-like,Tropilaelaps mercedesae,418985,"DNA binding, transferase activity",nan,Nucleus
C3Y2K3,57,,Uncharacterized protein,Branchiostoma floridae (Florida lancelet) (Amphioxus),7739,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EKB1,55,20197011,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1EHG7,55,20196017,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1G890,55,20217287,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EK52,56,20196952,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EKA7,56,20197007,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,nan,Nucleus
T1EKA8,56,20197008,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EX33,56,20201133,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,nan,Nucleus
T1ELA9,56,20197359,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1G6C1,55,20216618,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1EHG8,55,20196018,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,"DNA-binding transcription factor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
T1ELA7,52,20197357,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,nan,Nucleus
A0A0L8GCM6,56,,Homeobox domain-containing protein,Octopus bimaculoides (California two-spotted octopus),37653,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B7PY37,53,,"Caudal type homeobox protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"adenosine deaminase activity, DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
T1ELA6,54,20197356,Homeobox domain-containing protein,Helobdella robusta (Californian leech),6412,DNA binding,nan,Nucleus
A0A4X3NVY5,58,,Homeobox domain-containing protein,Pristionchus pacificus (Parasitic nematode),54126,DNA binding,nan,Nucleus
A0A1V9XXS4,55,,DNA-directed RNA polymerase II subunit RPB1-like,Tropilaelaps mercedesae,418985,"DNA binding, DNA-directed 5'-3' RNA polymerase activity",nan,Nucleus
A0A553PKN1,55,,Homeobox domain-containing protein,Tigriopus californicus (Marine copepod),6832,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
B7P6Q8,56,,"Homeobox protein, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"adenosine deaminase activity, DNA-binding transcription factor activity, RNA polymerase II transcription regulatory region sequence-specific DNA binding","animal organ morphogenesis, anterior/posterior axis specification, cell differentiation, regulation of transcription by RNA polymerase II",Nucleus
A0A5B8MJ13,50,,Hypothetical protein,Chloropicon primus,1764295,DNA binding,nan,Nucleus
A0A226D6H1,48,,LIM/homeobox protein Awh,Folsomia candida (Springtail),158441,"DNA binding, metal ion binding",nan,"Nucleus, Other locations"
A0A443RCR3,42,,Zinc finger protein 1-like protein,Dinothrombium tinctorium,1965070,DNA binding,nan,Nucleus
A0A2P6NXG8,57,,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",Planoprotostelium fungivorum,1890364,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific, GTPase activator activity",positive regulation of GTPase activity,Nucleus
A0A5E8BX41,45,,Homeobox domain-containing protein,Saprochaete ingens,2606893,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8GF88,57,14911815,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
L8H2R6,57,14920651,Homeobox domain containing protein,Acanthamoeba castellanii str. Neff,1257118,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
Q54PU1,58,8624535,Homeobox protein 10,Dictyostelium discoideum (Slime mold),44689,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding","cell differentiation, multicellular organism development, regulation of transcription by RNA polymerase II",Nucleus
A0A507EBG2,57,,Homeobox domain-containing protein,Powellomyces hirtus,109895,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1X6N3,56,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YAR8,56,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1YRA0,56,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1Z4K2,56,,Homeodomain-like protein,Basidiobolus meristosporus CBS 931.73,1314790,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A261Y4S2,56,,Homeobox domain-containing protein,Bifiguratus adelaidae,1938954,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A163J379,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A168NRT8,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A163JSE2,56,,Homeobox domain-containing protein,Absidia glauca (Pin mould),4829,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A2H9TJC6,56,,Yox1p,Paramicrosporidium saccamoebae,1246581,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A1Y1VJE9,56,,Homeobox domain-containing protein,Piromyces finnis,1754191,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A177V6J9,56,,Homeobox domain-containing protein,Tilletia walkeri,117179,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D1CA32,56,23568077,Homeobox domain-containing protein,Ustilago maydis (strain 521 / FGSC 9021) (Corn smut fungus),237631,"DNA-binding transcription factor activity, RNA polymerase II-specific, RNA polymerase II cis-regulatory region sequence-specific DNA binding",regulation of transcription by RNA polymerase II,Nucleus
A0A316W2T3,56,,Homeobox domain-containing protein,Ceraceosorus guamensis,1522189,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0D7ADX2,51,,Homeobox domain-containing protein,Fistulina hepatica ATCC 64428,1128425,DNA binding,nan,Nucleus
A0A1C7LTG6,57,,Homeobox protein HD-10,Grifola frondosa (Maitake) (Polyporus frondosus),5627,"DNA binding, DNA-binding transcription factor activity, RNA polymerase II-specific",nan,Nucleus
A0A0C3E8I9,51,,Homeobox domain-containing protein,Scleroderma citrinum Foug A,1036808,DNA binding,nan,Nucleus
A0A0H2RCL1,51,,Homeobox domain-containing protein,Schizopora paradoxa,27342,DNA binding,nan,Nucleus
