Protein ID,Identified Length,Gene ID,Protein Name,Organism Name,Taxonomic ID,Molecular Function-GO Annot,Biological processes-GO Annot,Cellular Component-Go Annot
A0A482X5Y3,113,,Uncharacterized protein,Laodelphax striatellus (Small brown planthopper) (Delphax striatella),195883,"GTPase activity, GTP binding",signal transduction,Other locations
A0A3R7N6K7,114,,Putative GTP-binding protein di-Ras1,Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei),6689,"GTPase activity, GTP binding",signal transduction,Other locations
A0A2F0B076,115,,GTP-binding protein Di-Ras3,Eschrichtius robustus (California gray whale) (Eschrichtius gibbosus),9764,"GTPase activity, GTP binding",signal transduction,Other locations
L8GR43,115,14915636,"RAP1A, member of RAS oncogene family",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A433TBN3,116,,VWFA domain-containing protein,Elysia chlorotica (Eastern emerald elysia) (Sea slug),188477,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
B7PNH2,116,,"GTP-binding protein di-Ras1, putative",Ixodes scapularis (Black-legged tick) (Deer tick),6945,"GTPase activity, GTP binding, sphingomyelin phosphodiesterase activity",signal transduction,Other locations
L8GUL3,116,14916430,"RasG, putative",Acanthamoeba castellanii str. Neff,1257118,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0L0DQJ0,117,25568621,Uncharacterized protein,Thecamonas trahens ATCC 50062,461836,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0D2VQW4,118,23302145,Uncharacterized protein,Capsaspora owczarzaki (strain ATCC 30864),595528,"GTPase activity, GTP binding",signal transduction,Other locations
A0A0N4UFW8,118,,Uncharacterized protein,Dracunculus medinensis (Guinea worm),318479,"GTPase activity, GTP binding",signal transduction,Other locations
A0A210QA53,118,,Circularly permutated Ras protein 1,Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis),6573,"GTPase activity, GTP binding, zinc ion binding","endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, signal transduction",Other locations
H9J393,118,,Uncharacterized protein,Bombyx mori (Silk moth),7091,"GTPase activity, GTP binding",signal transduction,Other locations
